SCOUT, TEAM, COMP, MATCH, CROSSLINE, AUTO SWITCH,AUTO SWITCH ATTEMPTS ,AUTO SCALE, AUTO SCALE ATTEMPTS, AUTO INTAKE, TELEOP SWITCH, TELEOP SCALE, TELEOP OTHER SWITCH, TELOP EXCHANGE, FIELD CONFIG, START POS, FOULS, DROPPED/FUMBLED CUBES, TELEOP INTAKE, CLIMB STATUS
Elaina,2034,COLORADO,S18,NO ATTEMPT,3,7,2,5,2,1,0,5,8,SSS,0,0,0,4,NO ATTEMPT
Alex,1230,UTAH,S17,SUCCESS,2,4,1,4,2,4,3,0,1,SSS,2,0,5,0,LEVITATED
Taya,1500,HOUSTON,Q21,SUCCESS,3,4,2,7,0,1,3,5,2,OSO,2,0,3,3,ASSISTED FROM OFF PLATFORM
Gabby,2534,COLORADO,Q26,FAIL,1,3,2,1,0,1,0,0,2,SSS,2,0,0,5,ASSISTED FROM PLATFORM
Taya,64,HOUSTON,S1,SUCCESS,2,2,0,6,0,5,0,3,3,OOO,2,0,3,3,FAILED CLIMB
Jazmine,2311,UTAH,S11,SUCCESS,2,3,1,3,0,1,0,1,3,SSS,0,0,1,5,FAILED ASSISTED CLIMB
Ella,1785,UTAH,S5,FAIL,3,6,1,6,2,5,0,5,5,OOO,0,0,5,2,PLATFORM / NO CLIMB
Ella,918,UTAH,QF10,FAIL,2,5,2,4,1,3,5,5,1,OSO,3,0,2,1,SUCCESSSSFUL CLIMB
Owen,2468,HOUSTON,S13,FAIL,0,4,0,1,4,3,1,5,4,OSO,2,0,3,3,NO ATTEMPT
Gabby,2885,COLORADO,Q35,FAIL,3,7,3,3,2,1,0,1,8,OOO,2,0,4,3,LEVITATED
Jazmine,852,UTAH,Q13,SUCCESS,4,6,3,6,5,0,2,4,3,OOO,2,0,4,5,ASSISTED FROM OFF PLATFORM
Elaina,2965,COLORADO,Q38,FAIL,4,4,1,6,2,2,2,1,5,OOO,2,0,2,3,ASSISTED FROM PLATFORM
Alex,700,UTAH,Q28,SUCCESS,0,0,3,3,2,3,4,5,0,SSS,0,0,0,4,FAILED CLIMB
Taya,1910,HOUSTON,Q3,NO ATTEMPT,2,3,4,3,0,4,1,0,4,SOS,1,0,1,3,FAILED ASSISTED CLIMB
