SCOUT,TEAM,COMP,SWITCH,SCALE,EXCHANGE,CLIMB,ELEVATOR,ARM,SHOOTER,INTAKE STYLE,CLIMB+PARTNER,DRIVEBASE,CLIMB POS,START POS,STANDARD,DRIVE FORWARD,NOTES
Dani, 3374, HOUSTON, NO, NO, YES, NO, NO, YES, NO, ACTIVE, 0, KIT, NONE, CENTER, NONE, YES, NONE, 
Dani, 4550, HOUSTON, YES, YES, YES, YES, YES, NO, NO, PASSIVE, 0, TRACTION, WHOLE, CENTER, NONE, YES, cant do opp side, 
Jazmyne, 5933, PRACTICE, YES, NO, YES, YES, NO, YES, NO, ACTIVE, 2, TRACTION, NONE, CENTER, NONE, YES, , 
Elaina, 2972, PRACTICE, YES, YES, YES, YES, NO, YES, NO, ACTIVE, 0, OTHER, TUBE BOX, LEFT RIGHT, NONE, YES, kinda exch, 
Elaina, 3166, PRACTICE, YES, NO, YES, NO, NO, YES, YES, ACTIVE, 0, OTHER, NONE, CENTER, NONE, YES, omnis front corresponding sw, 
Jazmyne, 3245, PRACTICE, YES, YES, YES, NO, NO, NO, YES, ACTIVE, 0, OTHER, NONE, LEFT RIGHT, REV, YES, , 
Elaina, 6400, PRACTICE, YES, YES, NO, NO, NO, YES, NO, PASSIVE, 0, TRACTION, WHOLE, LEFT RIGHT, NONE, NO, , 
Jazmyne, 841, PRACTICE, YES, NO, YES, NO, NO, YES, NO, ACTIVE, 0, OTHER, NONE, LEFT CENTER RIGHT, NONE, YES, , 
Dani, 3405, HOUSTON, YES, NO, YES, NO, NO, NO, NO, PASSIVE, 2, KIT, NONE, CENTER, NONE, YES, mod kit ramp bot, 
Dani, 5461, HOUSTON, YES, YES, NO, YES, YES, NO, NO, ACTIVE, 2, MECANUM, WHOLE, LEFT CENTER RIGHT, NONE, YES, sw specialist ramp bot sw c sc l r, 
Dani, 968, HOUSTON, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 1, TRACTION, WHOLE, LEFT CENTER RIGHT, NONE, YES, , 
Dani, 399, HOUSTON, YES, YES, NO, YES, YES, NO, NO, ACTIVE, 0, TRACTION, WHOLE, LEFT CENTER RIGHT, NONE, YES, sw any sc same, 
Dani, 662, HOUSTON, YES, YES, YES, YES, NO, YES, NO, ACTIVE, 0, TRACTION, TUBE BOX, CENTER, NONE, YES, sw any sc same, 
Dani, 662, HOUSTON, YES, YES, YES, YES, NO, YES, NO, ACTIVE, 0, TRACTION, TUBE BOX, CENTER, NONE, YES, center sw, 
Dani, 6358, HOUSTON, YES, YES, YES, NO, YES, NO, NO, ACTIVE, 0, KIT, NONE, CENTER RIGHT, NONE, YES, sw auto, 
Dani, 4598, HOUSTON, YES, YES, NO, YES, YES, NO, NO, ACTIVE, 0, KIT, TUBE BOX, LEFT CENTER RIGHT, NONE, NO, "any auto", 
Dani, 192, HOUSTON, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, SWERVE, WHOLE, LEFT RIGHT, NONE, YES, 2 clawz really cool, 
Dani, 3225, HOUSTON, YES, NO, YES, NO, YES, NO, NO, ACTIVE, 0, KIT, NONE, LEFT CENTER RIGHT, NONE, YES, , 
Julia, 3289, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, KIT, WHOLE, LEFT RIGHT, NONE, YES, , 
