SCOUT,TEAM,COMP,SWITCH,SCALE,EXCHANGE,CLIMB,ELEVATOR,ARM,SHOOTER,INTAKE STYLE,CLIMB+PARTNER,DRIVEBASE,CLIMB POS,START POS,STANDARD,DRIVE FORWARD,NOTES
Jazmyne, 5933, UTAH REGIONAL, YES, YES, YES, YES, NO, YES, NO, ACTIVE, 2, TRACTION, NONE, CENTER, NONE, YES, , 
Elaina, 2972, UTAH REGIONAL, YES, YES, YES, YES, NO, YES, NO, ACTIVE, 0, OTHER, TUBE BOX, LEFT RIGHT, NONE, YES, kinda exchange, 
Jazmyne, 3245, UTAH REGIONAL, YES, YES, YES, YES, NO, NO, YES, ACTIVE, 0, OTHER, NONE, LEFT RIGHT, REV, YES, , 
Taya, 1678, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 1, OTHER, BOX, RIGHT, NONE, YES, 2 omni 4 traction, 
Alex, 1339, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 2, OTHER, BOX, LEFT CENTER RIGHT, NONE, YES, better than yours, 
Taya, 2993, UTAH REGIONAL, YES, YES, YES, YES, NO, YES, NO, PASSIVE, 0, MECANUM, TUBE BOX, LEFT CENTER RIGHT, NONE, YES, , 
Taya, 3239, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, PASSIVE, 0, MECANUM, BOX, LEFT CENTER RIGHT, NONE, YES, no center auto, 
Taya, 1891, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 1, NONE, WHOLE, LEFT RIGHT, NONE, YES, corresponding side auto, 
Alex, 5871, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, KIT, TUBE BOX, LEFT CENTER RIGHT, NONE, YES, , 
Alex, 115, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, TRACTION, NONE, LEFT CENTER RIGHT, NONE, YES, only corresponding scale auto, 
Alex, 4348, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, OTHER, NONE, LEFT CENTER RIGHT, NONE, YES, omni kit omni / auto "theoretically", 
Alex, 2484, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, KIT, NONE, LEFT CENTER RIGHT, NONE, YES, omni kit omni / auto "theoretically", 
Alex, 4944, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, TRACTION, NONE, LEFT CENTER RIGHT, NONE, YES, , 
Taya, 6717, UTAH REGIONAL, YES, YES, YES, YES, NO, YES, NO, PASSIVE, 0, NONE, TUBE, LEFT RIGHT, NONE, YES, , 
Taya, 6844, UTAH REGIONAL, YES, YES, YES, YES, NO, YES, NO, PASSIVE, 0, KIT, NONE, LEFT CENTER RIGHT, NONE, YES, corresponding + center auto, 
Taya, 159, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, TRACTION, NONE, LEFT CENTER RIGHT, NONE, YES, None, 
Taya, 670, UTAH REGIONAL, YES, YES, YES, YES, NO, NO, NO, ACTIVE, 0, KIT, TUBE, LEFT CENTER RIGHT, NONE, YES, None, 
Elaina, 6457, UTAH REGIONAL, YES, YES, YES, YES, NO, NO, NO, PASSIVE, 0, KIT, NONE, LEFT CENTER RIGHT, NONE, YES, maybe climb, 
Jazmyne, 3230, UTAH REGIONAL, YES, YES, YES, YES, YES, YES, NO, ACTIVE, 0, OTHER, TUBE BOX, LEFT CENTER RIGHT, NONE, YES, omni front, 
Elaina, 5071, UTAH REGIONAL, YES, YES, YES, YES, NO, NO, YES, ACTIVE, 0, KIT, TUBE, LEFT CENTER RIGHT, NONE, YES, working on climb, 
Jazmyne, 4585, UTAH REGIONAL, YES, YES, YES, YES, NO, YES, NO, ACTIVE, 2, OTHER, WHOLE, LEFT CENTER RIGHT, NONE, YES, , 
Jazmyne, 5159, UTAH REGIONAL, YES, YES, YES, YES, YES, YES, NO, ACTIVE, 0, MECANUM, WHOLE, LEFT CENTER RIGHT, NONE, YES, , 
Jazmyne, 2594, UTAH REGIONAL, YES, YES, YES, YES, NO, YES, NO, ACTIVE, 0, MECANUM, BOX, LEFT RIGHT, NONE, YES, , 
Jazmyne, 2576, UTAH REGIONAL, YES, YES, YES, YES, NO, NO, YES, ACTIVE, 0, TRACTION, NONE, LEFT RIGHT, NONE, YES, , 
Jazmyne, 5974, UTAH REGIONAL, YES, YES, YES, YES, NO, YES, NO, ACTIVE, 0, KIT, TUBE BOX, LEFT CENTER RIGHT, NONE, YES, doesn't need whole bar, 
Jazmyne, 2468, UTAH REGIONAL, YES, YES, YES, YES, YES, YES, YES, ACTIVE, 0, OTHER, NONE, LEFT CENTER RIGHT, NONE, YES, , 
Dani, 3225, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, KIT, NONE, LEFT CENTER RIGHT, NONE, YES, , 
Dani, 192, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, SWERVE, WHOLE, LEFT RIGHT, NONE, YES, 2 claws, really cool, 
Dani, 4598, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, KIT, TUBE BOX, LEFT CENTER RIGHT, NONE, YES, any auto, 
Dani, 6358, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, KIT, NONE, CENTER RIGHT, NONE, YES, switch auto, 
Dani, 662, UTAH REGIONAL, YES, YES, YES, YES, NO, YES, NO, ACTIVE, 0, TRACTION, TUBE BOX, CENTER, NONE, YES, center switch, 
Dani, 399, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, TRACTION, WHOLE, LEFT CENTER RIGHT, NONE, YES, switch any, scale same, 
Dani, 968, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 1, TRACTION, WHOLE, LEFT CENTER RIGHT, NONE, YES, , 
Dani, 5461, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 2, MECANUM, WHOLE, LEFT CENTER RIGHT, NONE, YES, climbing ramp sw c sc l/r, 
Dani, 3405, UTAH REGIONAL, YES, YES, YES, YES, NO, NO, NO, PASSIVE, 2, KIT, NONE, CENTER, NONE, YES, modified kit ramp bot, 
Dani, 3374, UTAH REGIONAL, YES, YES, YES, YES, NO, YES, NO, ACTIVE, 0, KIT, NONE, CENTER, NONE, YES, switch / both, 
Dani, 3006, UTAH REGIONAL, YES, YES, YES, YES, NO, NO, NO, ACTIVE, 0, TRACTION, WHOLE, LEFT RIGHT, NONE, YES, linear slider / prefers side, 
Dani, 1452, UTAH REGIONAL, YES, YES, YES, YES, NO, NO, NO, ACTIVE, 0, KIT, NONE, LEFT CENTER RIGHT, NONE, YES, start on side maybe switch, 
Dani, 3729, UTAH REGIONAL, YES, YES, YES, YES, NO, NO, NO, ACTIVE, 0, OTHER, WHOLE, LEFT CENTER RIGHT, NONE, YES, supposedly every auto scissor lift, 
Dani, 1410, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, OTHER, BOX, LEFT RIGHT, NONE, YES, colson center omnis on side / rotating claw, 
Julia, 3289, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, KIT, WHOLE, LEFT RIGHT, NONE, YES, every switch auto, 
Taya, 6411, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, PASSIVE, 0, KIT, NONE, LEFT CENTER RIGHT, NONE, YES, , 
Jazmyne, 841, PRACTICE, YES, YES, YES, YES, NO, YES, NO, ACTIVE, 0, OTHER, NONE, LEFT CENTER RIGHT, NONE, YES, , 
Elaina, 6400, PRACTICE, YES, YES, YES, YES, NO, YES, NO, PASSIVE, 0, TRACTION, WHOLE, LEFT RIGHT, NONE, NO, , 
Dani, 3200, HOUSTON, YES, YES, YES, YES, YES, NO, NO, ACTIVE, 0, KIT, NONE, LEFT RIGHT, NONE, YES, , 
Jazmyne, 6546, PRACTICE, YES, YES, YES, YES, NO, YES, NO, ACTIVE, 0, NONE, NONE, LEFT CENTER RIGHT, NONE, YES, , 
Elaina, 3166, PRACTICE, YES, YES, YES, YES, NO, YES, YES, ACTIVE, 0, OTHER, NONE, CENTER, NONE, YES, omnis front/corresponding auto only, 
Dani, 4550, HOUSTON, YES, YES, YES, YES, YES, NO, NO, PASSIVE, 0, TRACTION, WHOLE, CENTER, NONE, YES, both switch from c / cant do opp side, 
Taya, 2996, PRACTICE, YES, YES, YES, YES, YES, YES, NO, ACTIVE, 0, KIT, TUBE BOX, LEFT RIGHT, NONE, YES, both switch from c / cant do opp side, 
Taya, 5493, UTAH REGIONAL, YES, YES, YES, YES, YES, NO, NO, PASSIVE, 1, KIT, TUBE, LEFT CENTER RIGHT, NONE, YES, , 
